Country,NUTS1_ID,NUTS2 code+name,NUTS2_ID,NUTS2_name,Fund,Year,Programming_Period,EU_Payment_annual,Modelled_annual_expenditure,Standard_Deviation_of_annual_expenditure,Standard_Error_of_modelled_annual_expenditure
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",EAFRD,2000,2000-2006,0,16232655,1468104,46425
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",EAFRD,2001,2000-2006,35337582,25437981,895333,28312
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",EAFRD,2002,2000-2006,13786704,16272171,224789,7108
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",EAFRD,2003,2000-2006,19197426,29052086,5009742,158421
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",EAFRD,2004,2000-2006,35306760,41007967,5749290,181808
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",EAFRD,2005,2000-2006,38395929,47873221,6049105,191289
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",EAFRD,2006,2000-2006,46672921,59179942,6213525,196488
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",EAFRD,2007,2000-2006,74501508,63617501,5174020,163616
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",EAFRD,2008,2000-2006,71239923,43784194,2872218,90827
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",EAFRD,2009,2000-2006,8387989,9437875,725246,22934
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",EAFRD,2011,2000-2006,1126586,0,0,0
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",EAFRD,2012,2000-2006,7942266,0,0,0
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2000,2000-2006,0,40022238,3572802,112981
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2001,2000-2006,85479904,75969755,848975,26846
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2002,2000-2006,65168032,57898237,648977,20522
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2003,2000-2006,49641132,65843574,13882752,439011
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2004,2000-2006,69564384,99396760,15769294,498668
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2005,2000-2006,108589288,131143298,16997497,537508
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2006,2000-2006,120919792,160838683,17017172,538130
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2007,2000-2006,207605776,176978180,12853892,406475
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2008,2000-2006,190161744,124286790,8644465,273362
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2009,2000-2006,28575814,40034433,3146557,99502
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2010,2000-2006,728354,0,0,0
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2011,2000-2006,44883452,0,0,0
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ERDF,2015,2000-2006,1094282,0,0,0
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2000,2000-2006,0,13250337,1314374,41564
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2001,2000-2006,32234485,27574549,462245,14617
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2002,2000-2006,20898122,23831852,291013,9202
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2003,2000-2006,28035095,32055155,398772,12610
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2004,2000-2006,37814814,44104269,5117180,161819
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2005,2000-2006,46020446,50195042,5120053,161910
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2006,2000-2006,45312461,53465269,4423944,139897
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2007,2000-2006,57039440,58032385,4525840,143119
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2008,2000-2006,76872586,53272274,3176171,100439
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2009,2000-2006,9509063,16553303,1146074,36242
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2010,2000-2006,141057,0,0,0
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2012,2000-2006,12188351,0,0,0
EL,GR1,"EL51 Anatoliki Makedonia, Thraki",EL51,"Anatoliki Makedonia, Thraki",ESF,2013,2000-2006,6268515,0,0,0
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2000,2000-2006,0,1085896,101742,3217
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2001,2000-2006,2476375,5429673,276708,8750
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2002,2000-2006,9211342,5895675,310660,9823
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2003,2000-2006,1650000,35529215,5186348,164006
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2004,2000-2006,74248312,60709851,4799058,151759
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2005,2000-2006,35456080,46100213,3573103,112991
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2006,2000-2006,58673324,49855116,1852780,58590
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2007,2000-2006,39017104,33301531,2487657,78666
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2008,2000-2006,16216244,28387913,5389578,170433
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2009,2000-2006,9692013,37577634,2749597,86949
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2010,2000-2006,34136408,0,0,0
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2011,2000-2006,8758366,0,0,0
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2012,2000-2006,9305191,0,0,0
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,CF,2014,2000-2006,5031964,0,0,0
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,EAFRD,2000,2000-2006,0,16015843,1498001,47370
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,EAFRD,2001,2000-2006,36445963,24716612,1097075,34692
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,EAFRD,2002,2000-2006,9754426,12586119,264855,8375
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,EAFRD,2003,2000-2006,16198281,24162790,3866936,122283
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,EAFRD,2004,2000-2006,30024162,32599737,5067279,160241
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,EAFRD,2005,2000-2006,27005305,39337791,4799086,151760
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,EAFRD,2006,2000-2006,46398588,52182311,4705183,148790
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,EAFRD,2007,2000-2006,59446282,51885404,4086443,129224
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,EAFRD,2008,2000-2006,59147070,37412790,2343952,74122
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,EAFRD,2009,2000-2006,12998629,8265147,606026,19164
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,EAFRD,2011,2000-2006,1745839,0,0,0
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2000,2000-2006,0,101889884,9322814,294813
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2001,2000-2006,225393008,182337820,3939503,124578
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2002,2000-2006,130149616,116076466,1287677,40719
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2003,2000-2006,99018072,171061581,24687184,780677
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2004,2000-2006,232178160,228870237,30506884,964712
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2005,2000-2006,172773344,237731875,31487859,995733
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2006,2000-2006,249150448,316082693,29055150,918804
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2007,2000-2006,389303840,347418885,20757321,656404
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2008,2000-2006,371007872,271861689,20829166,658676
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2009,2000-2006,140016656,126493299,9548532,301951
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2010,2000-2006,3568813,0,0,0
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2011,2000-2006,81902808,0,0,0
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ERDF,2015,2000-2006,5361797,0,0,0
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2000,2000-2006,0,18461952,1961063,62014
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2001,2000-2006,48061338,43489718,485606,15356
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2002,2000-2006,36160203,40337141,443682,14030
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2003,2000-2006,47033877,49060175,215237,6806
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2004,2000-2006,52308864,59440996,6227527,196931
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2005,2000-2006,61642467,65716182,6415321,202870
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2006,2000-2006,57495858,68688295,5634805,178188
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2007,2000-2006,75208598,77308942,5943999,187965
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2008,2000-2006,105306094,74171819,4149311,131212
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2009,2000-2006,9154457,21576601,1429525,45205
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2010,2000-2006,244072,0,0,0
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2012,2000-2006,21089610,0,0,0
EL,GR1,EL52 Kentriki Makedonia,EL52,Kentriki Makedonia,ESF,2013,2000-2006,4546382,0,0,0
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2000,2000-2006,0,1812351,372322,11773
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2001,2000-2006,7928885,9968406,418991,13249
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2002,2000-2006,16851620,13962864,593454,18766
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2003,2000-2006,4213558,8177843,814407,25753
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2004,2000-2006,21556972,18058218,718770,22729
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2005,2000-2006,6250220,5348128,185322,5860
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2006,2000-2006,2303647,3160278,175983,5565
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2007,2000-2006,6051336,5393378,135168,4274
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2008,2000-2006,3172828,3449490,56836,1797
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2009,2000-2006,4048952,3381308,205825,6508
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2010,2000-2006,88657,0,0,0
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2011,2000-2006,168169,0,0,0
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,CF,2014,2000-2006,77423,0,0,0
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,EAFRD,2000,2000-2006,0,5710996,501779,15867
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,EAFRD,2001,2000-2006,11893072,7347467,399385,12629
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,EAFRD,2002,2000-2006,2426911,5816713,297834,9418
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,EAFRD,2003,2000-2006,9486127,10855048,2075983,65648
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,EAFRD,2004,2000-2006,10188106,14708700,2323962,73490
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,EAFRD,2005,2000-2006,16089620,18964131,2675911,84619
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,EAFRD,2006,2000-2006,16418860,23819982,3023860,95622
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,EAFRD,2007,2000-2006,34640736,25868949,1818260,57498
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,EAFRD,2008,2000-2006,22660233,13823720,957108,30266
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,EAFRD,2009,2000-2006,2033478,3368741,273430,8646
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,EAFRD,2011,2000-2006,273115,0,0,0
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,EAFRD,2012,2000-2006,4174189,0,0,0
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2000,2000-2006,0,28819697,2567451,81189
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2001,2000-2006,61360420,45246588,1435527,45395
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2002,2000-2006,27052236,34579718,670598,21206
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2003,2000-2006,43079104,62332894,8426294,266462
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2004,2000-2006,75324696,75055294,10536316,333187
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2005,2000-2006,57476916,78414019,11825210,373945
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2006,2000-2006,76415248,106939908,11623213,367558
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2007,2000-2006,141542016,121713849,8751174,276736
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2008,2000-2006,131715016,87071709,6164804,194948
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2009,2000-2006,24923860,29591850,2334786,73832
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2010,2000-2006,635271,0,0,0
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2011,2000-2006,29286312,0,0,0
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ERDF,2015,2000-2006,954434,0,0,0
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2000,2000-2006,0,10504833,1078011,34089
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2001,2000-2006,26455095,23365088,317098,10027
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2002,2000-2006,18673301,21334779,273122,8636
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2003,2000-2006,25375898,27703349,238844,7552
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2004,2000-2006,31237289,34666635,3806401,120368
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2005,2000-2006,34394667,37437728,4145859,131103
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2006,2000-2006,32679743,41235329,3618826,114437
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2007,2000-2006,48532696,47846075,3609324,114136
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2008,2000-2006,61316172,42363816,2426315,76726
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2009,2000-2006,4727405,11832337,799697,25288
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2010,2000-2006,126040,0,0,0
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2012,2000-2006,12423888,0,0,0
EL,GR1,EL53 Dytiki Makedonia,EL53,Dytiki Makedonia,ESF,2013,2000-2006,2347773,0,0,0
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2000,2000-2006,0,751110,69214,2188
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2001,2000-2006,1677209,2763731,100122,3166
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2002,2000-2006,4103383,2265751,169336,5354
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2003,2000-2006,0,9010694,1552082,49081
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2004,2000-2006,18661130,16130845,1570366,49659
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2005,2000-2006,10353902,12350341,2304985,72890
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2006,2000-2006,8879960,18020572,2623430,82960
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2007,2000-2006,34030920,23430052,1079713,34143
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2008,2000-2006,9680391,10482820,1405634,44450
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2009,2000-2006,8667758,9640643,720517,22784
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2010,2000-2006,966460,0,0,0
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2011,2000-2006,126117,0,0,0
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2013,2000-2006,7586384,0,0,0
EL,GR1,EL61 Thessalia,EL61,Thessalia,CF,2014,2000-2006,112946,0,0,0
EL,GR1,EL61 Thessalia,EL61,Thessalia,EAFRD,2000,2000-2006,0,14072480,1287872,40726
EL,GR1,EL61 Thessalia,EL61,Thessalia,EAFRD,2001,2000-2006,31138367,20596019,964804,30509
EL,GR1,EL61 Thessalia,EL61,Thessalia,EAFRD,2002,2000-2006,7811173,12783731,455073,14390
EL,GR1,EL61 Thessalia,EL61,Thessalia,EAFRD,2003,2000-2006,18814018,26416855,4597084,145372
EL,GR1,EL61 Thessalia,EL61,Thessalia,EAFRD,2004,2000-2006,30631291,37349511,5115097,161753
EL,GR1,EL61 Thessalia,EL61,Thessalia,EAFRD,2005,2000-2006,37199691,44333726,5612418,177480
EL,GR1,EL61 Thessalia,EL61,Thessalia,EAFRD,2006,2000-2006,40982104,54849402,6490008,205232
EL,GR1,EL61 Thessalia,EL61,Thessalia,EAFRD,2007,2000-2006,79318738,58832873,3616588,114366
EL,GR1,EL61 Thessalia,EL61,Thessalia,EAFRD,2008,2000-2006,46415244,29965441,1949935,61662
EL,GR1,EL61 Thessalia,EL61,Thessalia,EAFRD,2009,2000-2006,8115125,8354883,630498,19938
EL,GR1,EL61 Thessalia,EL61,Thessalia,EAFRD,2011,2000-2006,1089938,0,0,0
EL,GR1,EL61 Thessalia,EL61,Thessalia,EAFRD,2012,2000-2006,6039231,0,0,0
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2000,2000-2006,0,40871414,3621283,114515
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2001,2000-2006,86283320,65244851,1864047,58946
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2002,2000-2006,41869176,46803643,437203,13825
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2003,2000-2006,52286292,81051015,12903391,408041
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2004,2000-2006,99711552,105990024,16432765,519649
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2005,2000-2006,86247696,122890127,16393220,518399
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2006,2000-2006,132195904,161999062,15813074,500053
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2007,2000-2006,193995744,168352699,12257442,387614
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2008,2000-2006,184855744,122294237,8802681,278365
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2009,2000-2006,36158416,42278885,3371446,106614
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2010,2000-2006,921623,0,0,0
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2011,2000-2006,41865844,0,0,0
EL,GR1,EL61 Thessalia,EL61,Thessalia,ERDF,2015,2000-2006,1384650,0,0,0
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2000,2000-2006,0,13846309,1414803,44740
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2001,2000-2006,34721478,30400193,441544,13962
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2002,2000-2006,23885276,26749530,292666,9254
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2003,2000-2006,31067777,36016988,505705,15991
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2004,2000-2006,43478587,47598209,5014137,158560
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2005,2000-2006,46616634,50110887,5437688,171954
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2006,2000-2006,43126183,54387357,4698695,148585
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2007,2000-2006,64600499,62673588,4456189,140917
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2008,2000-2006,77452495,54216520,3139801,99289
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2009,2000-2006,8099477,16660338,1129145,35706
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2010,2000-2006,161219,0,0,0
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2012,2000-2006,16447222,0,0,0
EL,GR1,EL61 Thessalia,EL61,Thessalia,ESF,2013,2000-2006,3003069,0,0,0
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2000,2000-2006,0,7200742,912174,28845
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2001,2000-2006,21803376,42677333,2644266,83619
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2002,2000-2006,85008352,57965833,3425686,108329
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2003,2000-2006,3125378,13745044,1345275,42541
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2004,2000-2006,35281032,31847756,434919,13753
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2005,2000-2006,24885300,37239724,1805862,57106
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2006,2000-2006,60374900,45853922,2151809,68046
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2007,2000-2006,12395270,15457700,2500681,79078
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2008,2000-2006,11424941,23306845,4164081,131679
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2009,2000-2006,12140455,42579232,2659771,84109
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2010,2000-2006,20203078,0,0,0
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2011,2000-2006,4010097,0,0,0
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2012,2000-2006,26887558,0,0,0
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,CF,2014,2000-2006,334399,0,0,0
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,EAFRD,2000,2000-2006,0,7146034,612862,19380
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,EAFRD,2001,2000-2006,14232195,8167852,520094,16446
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,EAFRD,2002,2000-2006,2154320,5144187,1887192,59678
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,EAFRD,2003,2000-2006,6448178,10620701,2852847,90214
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,EAFRD,2004,2000-2006,10918202,18113733,2998969,94835
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,EAFRD,2005,2000-2006,20441688,25710938,2879947,91071
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,EAFRD,2006,2000-2006,26821792,29784702,3164683,100076
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,EAFRD,2007,2000-2006,35105472,27875730,2337634,73922
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,EAFRD,2008,2000-2006,29885599,17348891,1270469,40175
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,EAFRD,2009,2000-2006,2680692,3872603,334931,10591
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,EAFRD,2011,2000-2006,1065274,0,0,0
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,EAFRD,2012,2000-2006,4031960,0,0,0
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,ERDF,2000,2000-2006,0,32186842,2821608,89227
EL,GR2,EL54 Ipeiros,EL54,Ipeiros,ERDF,2001,2000-2006,66773428,47557865,1684501,53268
