
="",="(1)",="(2)",="(3)",="(4)"
="",="emprate",="unemprate",="emprate",="unemprate"

="treated_post",="0.566**",="0.912**",="",=""
="",="(0.278)",="(0.401)",="",=""

="ln_gdp_pc",="7.517*",="-1.424",="8.196**",="-2.093"
="",="(3.816)",="(3.246)",="(3.951)",="(3.636)"

="ln_esf_pc_post",="",="",="0.161*",="0.079"
="",="",="",="(0.088)",="(0.166)"

="N",="1548",="1548",="1375",="1375"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
